exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd
dydx,CROSS,1INCH-USD,5,0.245893855,527262.933,838370.0,206150.03121635
drift,CROSS,1KMEW-USD,4,2.83169,0.0,179.0,506.87251000000003
drift,CROSS,1KWEN-USD,4,0.031471,1133.261324,376296.0,11842.411415999999
drift,CROSS,1MBONK-USD,10,21.6372,1929929.206893,353809.7,7655451.24084
drift,CROSS,1MPEPE-USD,4,10.2983,4355.35602,15899.0,163732.67169999998
dydx,CROSS,AAVE-USD,10,280.68748227,324126.537,7486.6,2101394.904762582
hyperliquid,CROSS,AAVE-USD,10,277.58,26266970.5325,204209.05809640462,56684350.34639999
hyperliquid,CROSS,ACE-USD,3,0.5208,201778.698826,220004.18912442398,114578.18169600001
dydx,ISOLATED,ACX-USD,5,0.1656958575,0.0,0.0,0.0
drift,CROSS,ADA-USD,10,0.855008,217263.229976,305496.0,261201.523968
dydx,CROSS,ADA-USD,10,0.8587570599,1413434.74,2015460.0,1730790.5039460538
hyperliquid,CROSS,ADA-USD,10,0.85345,53285351.31370998,47913384.55766594,40891678.050739996
dydx,ISOLATED,AERGO-USD,20,0.1087878224,0.0,44700.0,4862.81566128
dydx,ISOLATED,AERO-USD,20,1.23093845,30384.841,28173.0,34679.228951850004
dydx,CROSS,AEVO-USD,5,0.093125343,3463.958,214814.0,20004.627431202
hyperliquid,CROSS,AI-USD,3,0.1257,0.0,0.0,0.0
drift,CROSS,AI16Z-USD,4,0.114747,8413.009142,471597.0,54114.340959
dydx,ISOLATED,AI16Z-USD,20,0.115049247,0.0,44559.0,5126.479397073
hyperliquid,CROSS,AI16Z-USD,5,0.11366,1575502.187064,29532991.273834243,3356719.788184
dydx,ISOLATED,AITECH-USD,20,0.03773811299,0.0,100.0,3.773811299
dydx,ISOLATED,AIXBT-USD,20,0.108597285,0.0,49610.0,5387.51130885
hyperliquid,CROSS,AIXBT-USD,5,0.1068,1675582.4579499997,20551354.15861423,2194884.62414
dydx,ISOLATED,AKT-USD,20,1.172199999,1454.489,35608.0,41739.697564392
dydx,CROSS,ALGO-USD,5,0.24174033,74373.355,1915300.0,463005.254049
hyperliquid,CROSS,ALGO-USD,5,0.23905,949993.17462,9088804.45011504,2172678.7038000003
dydx,ISOLATED,ALPACA-USD,20,0.0181090945,0.0,0.0,0.0
dydx,ISOLATED,ALT-USD,20,0.0334883254,0.0,0.0,0.0
hyperliquid,CROSS,ALT-USD,5,0.03312,324958.016297,25678892.99094203,850484.93586
hyperliquid,CROSS,ANIME-USD,3,0.016173,1647214.8751010003,126861634.8998949,2051733.221236
dydx,CROSS,APE-USD,5,0.596426142,1830.53,211605.0,126206.75377791
hyperliquid,CROSS,APE-USD,5,0.5914,980288.641138,2661309.0639600945,1573898.180426
dydx,ISOLATED,API3-USD,20,1.3194892371,355648.595,121540.0,160370.721877134
drift,CROSS,APT-USD,10,4.33848,63994.646746,64515.5,279899.20644
dydx,CROSS,APT-USD,10,4.351391175,99341.171,70191.0,305428.497964425
hyperliquid,CROSS,APT-USD,10,4.328,4830903.166531,3713561.5966289276,16072294.59021
dydx,ISOLATED,AR-USD,20,6.7597296,5895.005,1148.0,7760.1695808
hyperliquid,CROSS,AR-USD,5,6.6995,1983865.8206799994,254370.82439704458,1704157.3380480001
drift,CROSS,ARB-USD,10,0.48098,13387.614524,687219.0,330538.59462
dydx,CROSS,ARB-USD,10,0.48117594,855881.254,843691.0,405963.80999454
hyperliquid,CROSS,ARB-USD,10,0.4781,32495385.607780993,47140057.74800251,22537661.60932
hyperliquid,CROSS,ARK-USD,3,0.4199,52071.35934,467311.4246249107,196224.0672
dydx,CROSS,ARKM-USD,5,0.507074645,12599.349,9582.0,4858.78924839
dydx,CROSS,ASTR-USD,5,0.0236288185,32673.513,443980.0,10490.722837629999
dydx,CROSS,ATH-USD,5,0.03171841399,211.5,610200.0,19354.576216698
dydx,CROSS,ATOM-USD,10,4.34145658,42833.475,141941.0,616230.68842178
hyperliquid,CROSS,ATOM-USD,5,4.3025,1101153.1937309997,1241196.4306119694,5340247.642707999
drift,CROSS,AVAX-USD,10,22.582856,607664.301385,23785.4,537142.2631024
dydx,CROSS,AVAX-USD,10,22.68754246,523774.181,105090.1,2384236.105875646
hyperliquid,CROSS,AVAX-USD,10,22.435,27419519.240110014,1735674.5727434815,38939859.039500006
dydx,CROSS,AXL-USD,5,0.309234537,4811.907,249504.0,77155.25391964799
dydx,ISOLATED,AXS-USD,20,2.245443874,925.506,645.0,1448.3112987299999
dydx,ISOLATED,B3-USD,20,0.00275141741,3397.629,346000.0,951.99042386
dydx,ISOLATED,BABY-USD,20,0.05126512651,16777.8,370000.0,18968.0968087
hyperliquid,CROSS,BABY-USD,5,0.05086,346319.6159760001,14839177.870861186,754720.586512
dydx,ISOLATED,BABYDOGE-USD,20,1.22295108e-09,4960.0,1362000000000.0,1665.6593709600002
dydx,ISOLATED,BADGER-USD,20,0.99,0.0,0.0,0.0
hyperliquid,CROSS,BADGER-USD,5,0.88959,0.0,0.0,0.0
dydx,ISOLATED,BANANA-USD,20,22.5288735,0.0,489.3,11023.37780355
hyperliquid,CROSS,BANANA-USD,3,22.282,723706.5871,30901.858127636657,688555.2028
dydx,CROSS,BCH-USD,10,555.9346576,72169.711,447.21,248619.538225296
hyperliquid,CROSS,BCH-USD,10,553.96,2812244.2143499996,8800.171784533179,4874943.16176
dydx,CROSS,BEAM-USD,5,0.00738463075,0.0,1355300.0,10008.390055475
drift,CROSS,BERA-USD,5,2.22439,32339.687875,129104.0,287177.64656
dydx,ISOLATED,BERA-USD,20,2.21288935,0.0,20556.4,45489.03863434001
hyperliquid,CROSS,BERA-USD,5,2.1945,7169295.282190002,6590890.071223512,14463708.261299998
dydx,ISOLATED,BICO-USD,20,0.1034,0.0,0.0,0.0
hyperliquid,CROSS,BIGTIME-USD,5,0.053655,252256.160155,45113749.26940639,2420578.21705
hyperliquid,CROSS,BIO-USD,5,0.12627,10111427.583730001,36036515.49536708,4550330.811600001
