exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd,daily_snapshot
drift,CROSS,1KMEW-USD,4,2.48858,0.0,0.0,0.0,2025-11-02
drift,CROSS,1KPUMP-USD,5,4.64497,87857.252042,65344.0,303520.91968,2025-11-02
drift,CROSS,1KWEN-USD,4,0.035257,0.0,460.0,16.21822,2025-11-02
drift,CROSS,1MBONK-USD,10,14.1627,1159630.221016,79210.2,1121830.2995399998,2025-11-02
drift,CROSS,1MPEPE-USD,4,6.677,42919.621261,10808.0,72165.01599999999,2025-11-02
drift,CROSS,2Z-USD,5,0.180537,81810.875669,395752.0,71447.878824,2025-11-02
drift,CROSS,ADA-USD,10,0.609025,121202.763963,375679.0,228797.902975,2025-11-02
drift,CROSS,AI16Z-USD,4,0.082422,0.0,7286.0,600.5266919999999,2025-11-02
drift,CROSS,APT-USD,10,3.308821,85702.992933,145103.5,480121.5079735,2025-11-02
drift,CROSS,ARB-USD,10,0.305387,2383.641348,160023.0,48868.943901000006,2025-11-02
drift,CROSS,ASTER-USD,10,0.958727,235458.473556,890105.0,853367.696335,2025-11-02
drift,CROSS,AVAX-USD,10,18.681169,16289.823672,21543.1,402450.2918839,2025-11-02
drift,CROSS,BERA-USD,5,1.832176,1093.342285,62370.9,114274.4660784,2025-11-02
drift,CROSS,BNB-USD,10,1091.613708,139060.257041,855.65,934039.2692502,2025-11-02
drift,CROSS,BREAKPOINT-USD,1,1e-06,0.0,0.0,0.0,2025-11-02
drift,CROSS,BTC-USD,101,109955.469506,29208441.671653,944.7631,103881870.23244402,2025-11-02
drift,CROSS,CLOUD-USD,2,0.117165,6701.72184,1341254.0,157148.02491,2025-11-02
drift,CROSS,DBR-USD,2,0.024672,0.0,0.0,0.0,2025-11-02
drift,CROSS,DEMOCRATS-USD,1,1e-06,0.0,0.0,0.0,2025-11-02
drift,CROSS,DOGE-USD,10,0.186066,5345.806193,4755114.0,884765.041524,2025-11-02
drift,CROSS,DRIFT-USD,5,0.409529,407639.417409,4347004.0,1780224.2011159998,2025-11-02
drift,CROSS,DYM-USD,5,0.242627,0.0,547.0,132.716969,2025-11-02
drift,CROSS,ETH-USD,101,3870.381409,8452363.778593,19479.435,75392843.08182392,2025-11-02
drift,CROSS,FARTCOIN-USD,10,0.334098,304984.079711,932895.0,311678.35371,2025-11-02
drift,CROSS,FED-USD,1,0.999999,0.0,0.0,0.0,2025-11-02
drift,CROSS,FWOG-USD,4,0.030393,0.0,90733.0,2757.648069,2025-11-02
drift,CROSS,GOAT-USD,4,0.078436,0.0,60.0,4.706160000000001,2025-11-02
drift,CROSS,HNT-USD,5,2.388573,311934.557099,148934.0,355739.731182,2025-11-02
drift,CROSS,HYPE-USD,10,42.669547,4525851.663482,83991.4,3583874.9898957997,2025-11-02
drift,CROSS,INJ-USD,10,7.902676,241216.709682,33418.5,264095.57790599996,2025-11-02
